Family	Species	Morpho  Functional Group	Deep Mean Biomass	Deep Standard Deviation of Biomass	Deep Percentage	Shallow Mean Biomass	Shallow Standard Deviation of Biomass	Shallow Percentage
Acanthuridae	Acanthurus bahianus	Detritivore	23.3	9.1	4.4	27.1	6.9	7.7
Acanthuridae	Acanthurus chirurgus	Detritivore	21.7	12.1	6.1	38.9	11.6	11
Acanthuridae	Acanthurus coeruleus	Algivore	5		0.2	14.5	4	2
Sparidae	Diplodus argenteus	Omnivore	2.5	0.6	0.5	6.3	2	1.8
Kyphosidae	Kyphosus spp.	Algivore	13.8		0.7	6.8	1.4	2.3
Labridae	Scarus zelindae	Detritivore	6.7	2.4	0.6	2	0.1	0.2
Labridae	Sparisoma axillare	Detritivore	4.7		0.2	5.1	2.6	0.5
Labridae	Sparisoma frondosum	Detritivore	3.5	1.5	0.3	3.7	0.7	0.4
Labridae	"Sparisoma radians
Sparisoma"	Detritivore	1.9		0.1			0
Labridae	tuiupiranga	Detritivore	2.1	0.9	0.4	2.1	0.7	0.6
