Species 	Body.weight (kg) 	Brain.weight (g)	Log.body.weight (kg)	log.brain.weight (g)
Cow 	465	423	8.86	8.72
Grey Wolf 	36.33	119.5	5.18	6.90
Goat 	27.66	115	4.79	4.79
Guinea Pig 	1.04	5.5	0.06	2.46
Diplodocus 	11700	50	13.51	5.64
Asian Elephant 	2547	4603	11.31	12.17
Donkey 	187.1	419	7.55	8.71
Horse 	521	655	3.32	9.03
Potar Monkey 	10	115	6.85	9.36
Cat 	3.3	25.6	1.72	4.68
Giraffe 	529	680	9.05	9.41
Gorilla 	207	406	7.70	8.67
Human 	62	1320	5.95	10.37
African Elephant 	6654	5712	12.70	12.48
Triceratops 	9400	70	13.20	6.13
Rhesus Monkey 	6.8	179	2.77	7.48
Kangaroo 	35	56	5.13	5.81
Hamster 	0.12	1	-3.06	0.00
Mouse 	0.023	0.4	-5.44	-1.32
Rabbit 	2.5	12.1	1.32	3.60
Sheep 	55.5	175	5.80	7.45
Jaguar 	100	157	6.64	7.29
Chimpanzee 	52.16	440	5.70	8.78
Brachiosaurus 	87000	154.5	16.41	7.27
Rat 	0.28	1.9	-1.84	0.93
Mole 	0.122	3	-3.04	1.58
Pig 	192	180	7.58	7.49
