Clade	Genus	Species	FL	Mass	Time	Formation
Theropoda	Achillobator	giganticus	505	273242.5922	LC	NA
Theropoda	Alxasaurus	elesitaiensis	555	370743.7039	LC	NA
Theropoda	Anchiornis	huxleyi	74	550.4283178	MJ	NA
Theropoda	Anserimimus	planinychus	435	168692.1917	LC	NA
Theropoda	Archaeopteryx	lithographica	52.6	182.616547	LJ	NA
Theropoda	Austroraptor	cabazai	560	381648.3114	LC	NA
Theropoda	Avimimus	portentosus	210	16026.81444	LC	Dinosaur Park
Theropoda	Bambiraptor	feinbergi	118	2487.178921	LC	NA
Theropoda	Beishanlog	grandis	501	266308.7903	LC	NA
Theropoda	Buitriraptor	gonzalezorum	150	5401.721284	LC	NA
Theropoda	Caudipteryx	dongi	149	5286.188689	EC	NA
Theropoda	Caudipteryx	zhoui	149	5286.188689	EC	NA
Theropoda	Deinonychus	antirrhopus	336	73215.63219	EC	NA
Theropoda	Dromiceiomimus	brevitertius	454	193689.4348	LC	NA
Theropoda	Epidendrosaurus	heilmanni	17	4.742714785	MJ	NA
Theropoda	Epidexipteryx	hui	51	165.2640257	MJ	NA
Theropoda	Gallimimus	bullatus	673	691321.8682	LC	NA
Theropoda	Giganotosaurus	carolinii	1430	7900364.787	LC	NA
Theropoda	Gigantoraptor	erlianensis	1100	3383447.494	LC	NA
Theropoda	Haplocheirus	sollers	214	17034.65736	MJ	NA
Theropoda	Harpymimus	okladnikovi	267	34828.89559	EC	NA
Theropoda	Ingenia	yanshini	233	22425.2768	LC	NA
Theropoda	Jinfengopteryx	elegans	70	459.9343959	EC	NA
Theropoda	Linhenreptor	exquisitus	230	21505.35994	LC	NA
Theropoda	Microraptor	gui	105.7	1742.549719	EC	NA
Theropoda	Microraptor	zhaoianus	53	187.1433805	EC	NA
Theropoda	Microvenator	celer	124	2919.628371	EC	NA
Theropoda	Mononykus	olecranus	138.4	4164.377342	LC	NA
Theropoda	Nomingia	gobiensis	285	43005.06029	LC	NA
Theropoda	Ornithomimus	edmontonicus	435	168692.1917	LC	Dinosaur Park
Theropoda	Oviraptor	philoceratops	303	52419.01648	LC	NA
Theropoda	Protarchaeopteryx	robusta	122	2770.143385	EC	NA
Theropoda	Rinchenia	philiceratops	305	53545.6192	LC	NA
Theropoda	Saurornitholestes	langstoni	211	16274.8036	LC	Dinosaur Park
Theropoda	Segisaurus	halli	145	4841.095624	EJ	NA
Theropoda	Shuuvia	deserti	56	223.5956474	LC	NA
Theropoda	Similicaudipteryx	yixianensis	220	18627.24356	EC	NA
Theropoda	Sinornithoides	youngi	137	4029.751091	LC	NA
Theropoda	Sinornithoides	youngi	140	4322.002774	LC	NA
Theropoda	Sinornithomimus	dongi	323	64448.73494	EC	NA
Theropoda	Sinornithosaurus	millenii	149	5286.188689	EC	NA
Theropoda	Sinovenator 	changii	105	1705.52487	EC	NA
Theropoda	Struthiomimus	altus	655	633322.816	LC	Dinosaur Park
Theropoda	Tianyuraptor	ostromi	210	16026.81444	EC	NA
Theropoda	Troodon	formosus	320	62533.93592	LC	Dinosaur Park
Theropoda	Unenlagia 	comahuensis	370	99979.6511	LC	NA
Theropoda	Velociraptor	mongoliensis	187	11015.81021	LC	NA
Theropoda	Xixianykus	zhangi	70	459.9343959	LC	NA
Theropoda	Acrocanthosaurus	atokensis	1277	5480248.129	EC	NA
Theropoda	Afrovenator	abakensis	760	1024084.274	EC	NA
Theropoda	Albertosaurus	sarcophagus	1020	2650742.123	LC	NA
Theropoda	Allosaurus	fragilis	742	947740.6466	LJ	Morrison
Theropoda	Aucasaurus	garridoi	700	785047.4175	LC	NA
Theropoda	Carnotaurus	sastrei	1030	2735662.278	LC	NA
Theropoda	Ceratosaurus	dentisulcatus	759	1019735.344	LJ	Morrison
Theropoda	Ceratosaurus	nasicornis	620	530320.5094	LJ	Morrison
Theropoda	Chilantaisaurus	tashuikouensis	1190	4362675.319	EC	NA
Theropoda	Coelophysis	bauri	245	26377.43869	LT	NA
Theropoda	Compsognathus	corallestris	110	1982.254632	LJ	NA
Theropoda	Compsognathus	longipes	71	481.5121377	LJ	NA
Theropoda	Daspletosaurus	torosus	1065	3047680.291	LC	Dinosaur Park
Theropoda	Deltadromeus	agilis	740	939508.6194	LC	NA
Theropoda	Dilong	paradoxus	185	10639.53052	EC	NA
Theropoda	Dilophosaurus	wetherilli	551	362176.4455	EJ	NA
